envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
170	2010000	2010000	1770000	2490000	1530000	2250000	
171	2031000	2127000	1767000	2487000	1527000	2247000	
172	2076000	2244000	1764000	2604000	1524000	2244000	
173	2121000	2241000	1881000	2601000	1521000	2361000	
174	2142000	2358000	1878000	2598000	1518000	2358000	
175	2163000	2355000	1875000	2595000	1635000	2355000	
176	2160000	2352000	1872000	2592000	1632000	2352000	
177	2181000	2349000	1869000	2709000	1629000	2349000	
178	2178000	2346000	1866000	2706000	1626000	2346000	
179	2199000	2343000	1863000	2703000	1623000	2463000	
180	2244000	2340000	1980000	2700000	1740000	2460000	
181	2241000	2337000	1977000	2697000	1737000	2457000	
182	2238000	2334000	1974000	2694000	1734000	2454000	
183	2235000	2331000	1971000	2691000	1731000	2451000	
184	2280000	2328000	1968000	2808000	1848000	2448000	
185	2277000	2325000	1965000	2805000	1845000	2445000	
186	2298000	2442000	1962000	2802000	1842000	2442000	
187	2343000	2439000	2079000	2799000	1959000	2439000	
188	2388000	2436000	2076000	2796000	2076000	2556000	
189	2385000	2433000	2073000	2793000	2073000	2553000	
190	2382000	2430000	2070000	2790000	2070000	2550000	
191	2379000	2427000	2067000	2787000	2067000	2547000	
192	2376000	2424000	2064000	2784000	2064000	2544000	
193	2373000	2421000	2061000	2781000	2061000	2541000	
194	2370000	2418000	2058000	2778000	2058000	2538000	
195	2391000	2415000	2055000	2775000	2055000	2655000	
196	2388000	2412000	2052000	2772000	2052000	2652000	
197	2385000	2409000	2049000	2769000	2049000	2649000	
198	2406000	2406000	2046000	2886000	2046000	2646000	
199	2427000	2403000	2043000	2883000	2043000	2763000	
200	2424000	2400000	2040000	2880000	2040000	2760000	
201	2445000	2397000	2037000	2997000	2037000	2757000	
202	2442000	2394000	2034000	2994000	2034000	2754000	
203	2463000	2391000	2031000	3111000	2031000	2751000	
204	2460000	2388000	2028000	3108000	2028000	2748000	
205	2505000	2385000	2145000	3105000	2025000	2865000	
206	2526000	2382000	2142000	3102000	2022000	2982000	
207	2523000	2379000	2139000	3099000	2019000	2979000	
208	2544000	2376000	2136000	3096000	2136000	2976000	
209	2589000	2493000	2253000	3093000	2133000	2973000	
210	2586000	2490000	2250000	3090000	2130000	2970000	
211	2607000	2607000	2247000	3087000	2127000	2967000	
212	2628000	2724000	2244000	3084000	2124000	2964000	
213	2625000	2721000	2241000	3081000	2121000	2961000	
214	2694000	2718000	2358000	3078000	2238000	3078000	
215	2715000	2715000	2355000	3075000	2235000	3195000	
216	2712000	2712000	2352000	3072000	2232000	3192000	
217	2709000	2709000	2349000	3069000	2229000	3189000	
218	2778000	2706000	2466000	3186000	2226000	3306000	
219	2775000	2703000	2463000	3183000	2223000	3303000	
