envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
227	1839000	2079000	2079000	2199000	1479000	1359000	
228	1836000	2076000	2076000	2196000	1476000	1356000	
229	1833000	2073000	2073000	2193000	1473000	1353000	
230	1830000	2070000	2070000	2190000	1470000	1350000	
231	1827000	2067000	2067000	2187000	1467000	1347000	
232	1848000	2064000	2064000	2184000	1584000	1344000	
233	1893000	2061000	2181000	2301000	1581000	1341000	
234	1890000	2058000	2178000	2298000	1578000	1338000	
235	1911000	2055000	2175000	2295000	1695000	1335000	
236	1956000	2052000	2172000	2412000	1692000	1452000	
237	1953000	2049000	2169000	2409000	1689000	1449000	
238	1974000	2046000	2166000	2406000	1686000	1566000	
239	2019000	2043000	2283000	2403000	1683000	1683000	
240	2040000	2040000	2280000	2520000	1680000	1680000	
241	2037000	2037000	2277000	2517000	1677000	1677000	
242	2058000	2034000	2274000	2514000	1794000	1674000	
243	2055000	2031000	2271000	2511000	1791000	1671000	
244	2076000	2028000	2268000	2628000	1788000	1668000	
245	2097000	2025000	2265000	2625000	1905000	1665000	
246	2118000	2022000	2262000	2622000	1902000	1782000	
247	2139000	2019000	2259000	2739000	1899000	1779000	
248	2136000	2016000	2256000	2736000	1896000	1776000	
249	2133000	2013000	2253000	2733000	1893000	1773000	
250	2154000	2010000	2250000	2730000	2010000	1770000	
251	2151000	2007000	2247000	2727000	2007000	1767000	
252	2172000	2004000	2244000	2724000	2124000	1764000	
253	2169000	2001000	2241000	2721000	2121000	1761000	
254	2166000	1998000	2238000	2718000	2118000	1758000	
255	2163000	1995000	2235000	2715000	2115000	1755000	
256	2160000	1992000	2232000	2712000	2112000	1752000	
257	2181000	1989000	2229000	2709000	2109000	1869000	
258	2178000	1986000	2226000	2706000	2106000	1866000	
259	2175000	1983000	2223000	2703000	2103000	1863000	
260	2172000	1980000	2220000	2700000	2100000	1860000	
261	2169000	1977000	2217000	2697000	2097000	1857000	
262	2190000	1974000	2214000	2694000	2094000	1974000	
263	2211000	1971000	2211000	2691000	2091000	2091000	
264	2232000	1968000	2328000	2688000	2088000	2088000	
265	2277000	1965000	2445000	2805000	2085000	2085000	
266	2274000	1962000	2442000	2802000	2082000	2082000	
267	2295000	2079000	2439000	2799000	2079000	2079000	
268	2316000	2076000	2436000	2916000	2076000	2076000	
269	2361000	2073000	2433000	3033000	2193000	2073000	
270	2406000	2190000	2550000	3030000	2190000	2070000	
271	2475000	2307000	2547000	3027000	2307000	2187000	
272	2520000	2424000	2544000	3024000	2304000	2304000	
273	2517000	2421000	2541000	3021000	2301000	2301000	
274	2538000	2418000	2538000	3018000	2298000	2418000	
275	2535000	2415000	2535000	3015000	2295000	2415000	
276	2532000	2412000	2532000	3012000	2292000	2412000	
277	2625000	2409000	2649000	3129000	2409000	2529000	
278	2646000	2406000	2766000	3126000	2406000	2526000	
279	2667000	2523000	2763000	3123000	2403000	2523000	
280	2664000	2520000	2760000	3120000	2400000	2520000	
281	2661000	2517000	2757000	3117000	2397000	2517000	
282	2682000	2514000	2754000	3114000	2514000	2514000	
283	2727000	2511000	2871000	3111000	2631000	2511000	
284	2724000	2508000	2868000	3108000	2628000	2508000	
285	2817000	2625000	2985000	3105000	2745000	2625000	
286	2814000	2622000	2982000	3102000	2742000	2622000	
287	2835000	2619000	2979000	3099000	2859000	2619000	
288	2880000	2616000	3096000	3216000	2856000	2616000	
289	2901000	2613000	3093000	3333000	2853000	2613000	
290	2898000	2610000	3090000	3330000	2850000	2610000	
291	2895000	2607000	3087000	3327000	2847000	2607000	
292	2916000	2604000	3084000	3324000	2964000	2604000	
293	2937000	2601000	3081000	3321000	3081000	2601000	
294	2982000	2598000	3078000	3318000	3198000	2718000	
295	2979000	2595000	3075000	3315000	3195000	2715000	
296	3024000	2712000	3072000	3312000	3192000	2832000	
297	3045000	2829000	3069000	3309000	3189000	2829000	
298	3066000	2826000	3066000	3426000	3186000	2826000	
299	3063000	2823000	3063000	3423000	3183000	2823000	
300	3084000	2940000	3060000	3420000	3180000	2820000	
301	3081000	2937000	3057000	3417000	3177000	2817000	
302	3126000	2934000	3054000	3414000	3294000	2934000	
303	3123000	2931000	3051000	3411000	3291000	2931000	
304	3144000	2928000	3048000	3528000	3288000	2928000	
305	3165000	2925000	3045000	3525000	3285000	3045000	
306	3186000	2922000	3162000	3522000	3282000	3042000	
307	3231000	2919000	3279000	3519000	3399000	3039000	
308	3252000	3036000	3276000	3516000	3396000	3036000	
309	3249000	3033000	3273000	3513000	3393000	3033000	
310	3246000	3030000	3270000	3510000	3390000	3030000	
311	3243000	3027000	3267000	3507000	3387000	3027000	
312	3288000	3144000	3264000	3504000	3384000	3144000	
313	3309000	3141000	3261000	3501000	3381000	3261000	
314	3306000	3138000	3258000	3498000	3378000	3258000	
315	3303000	3135000	3255000	3495000	3375000	3255000	
316	3324000	3132000	3252000	3492000	3492000	3252000	
317	3345000	3249000	3249000	3489000	3489000	3249000	
318	3366000	3246000	3366000	3486000	3486000	3246000	
319	3363000	3243000	3363000	3483000	3483000	3243000	
320	3360000	3240000	3360000	3480000	3480000	3240000	
321	3381000	3237000	3357000	3477000	3597000	3237000	
322	3378000	3234000	3354000	3474000	3594000	3234000	
323	3399000	3231000	3351000	3471000	3591000	3351000	
324	3420000	3348000	3348000	3468000	3588000	3348000	
325	3417000	3345000	3345000	3465000	3585000	3345000	
326	3414000	3342000	3342000	3462000	3582000	3342000	
327	3411000	3339000	3339000	3459000	3579000	3339000	
328	3432000	3336000	3336000	3456000	3576000	3456000	
329	3453000	3333000	3333000	3573000	3573000	3453000	
330	3474000	3450000	3330000	3570000	3570000	3450000	
331	3519000	3567000	3447000	3567000	3567000	3447000	
332	3516000	3564000	3444000	3564000	3564000	3444000	
333	3537000	3681000	3441000	3561000	3561000	3441000	
334	3534000	3678000	3438000	3558000	3558000	3438000	
335	3531000	3675000	3435000	3555000	3555000	3435000	
336	3528000	3672000	3432000	3552000	3552000	3432000	
337	3525000	3669000	3429000	3549000	3549000	3429000	
338	3522000	3666000	3426000	3546000	3546000	3426000	
339	3519000	3663000	3423000	3543000	3543000	3423000	
340	3516000	3660000	3420000	3540000	3540000	3420000	
341	3513000	3657000	3417000	3537000	3537000	3417000	
342	3510000	3654000	3414000	3534000	3534000	3414000	
343	3507000	3651000	3411000	3531000	3531000	3411000	
344	3528000	3648000	3408000	3528000	3648000	3408000	
345	3525000	3645000	3405000	3525000	3645000	3405000	
346	3522000	3642000	3402000	3522000	3642000	3402000	
347	3519000	3639000	3399000	3519000	3639000	3399000	
348	3516000	3636000	3396000	3516000	3636000	3396000	
349	3537000	3753000	3393000	3513000	3633000	3393000	
350	3534000	3750000	3390000	3510000	3630000	3390000	
351	3531000	3747000	3387000	3507000	3627000	3387000	
352	3552000	3744000	3384000	3624000	3624000	3384000	
353	3597000	3741000	3501000	3621000	3621000	3501000	
354	3690000	3738000	3618000	3738000	3738000	3618000	
355	3711000	3855000	3615000	3735000	3735000	3615000	
356	3732000	3852000	3732000	3732000	3732000	3612000	
357	3729000	3849000	3729000	3729000	3729000	3609000	
358	3726000	3846000	3726000	3726000	3726000	3606000	
359	3747000	3963000	3723000	3723000	3723000	3603000	
360	3768000	3960000	3720000	3720000	3720000	3720000	
361	3765000	3957000	3717000	3717000	3717000	3717000	
362	3858000	3954000	3834000	3834000	3834000	3834000	
363	3855000	3951000	3831000	3831000	3831000	3831000	
364	3852000	3948000	3828000	3828000	3828000	3828000	
365	3849000	3945000	3825000	3825000	3825000	3825000	
366	3870000	3942000	3822000	3822000	3942000	3822000	
367	3867000	3939000	3819000	3819000	3939000	3819000	
368	3864000	3936000	3816000	3816000	3936000	3816000	
369	3861000	3933000	3813000	3813000	3933000	3813000	
370	3882000	3930000	3810000	3930000	3930000	3810000	
371	3879000	3927000	3807000	3927000	3927000	3807000	
372	3900000	3924000	3804000	4044000	3924000	3804000	
373	3897000	3921000	3801000	4041000	3921000	3801000	
374	3894000	3918000	3798000	4038000	3918000	3798000	
375	3891000	3915000	3795000	4035000	3915000	3795000	
376	3912000	3912000	3792000	4032000	3912000	3912000	
377	3933000	3909000	3789000	4149000	3909000	3909000	
378	3954000	3906000	3786000	4146000	4026000	3906000	
379	3951000	3903000	3783000	4143000	4023000	3903000	
380	3948000	3900000	3780000	4140000	4020000	3900000	
381	4041000	3897000	3897000	4257000	4137000	4017000	
382	4038000	3894000	3894000	4254000	4134000	4014000	
383	4035000	3891000	3891000	4251000	4131000	4011000	
384	4032000	3888000	3888000	4248000	4128000	4008000	
385	4029000	3885000	3885000	4245000	4125000	4005000	
386	4074000	3882000	4002000	4242000	4242000	4002000	
387	4119000	3879000	3999000	4239000	4359000	4119000	
388	4116000	3876000	3996000	4236000	4356000	4116000	
389	4113000	3873000	3993000	4233000	4353000	4113000	
390	4158000	3870000	3990000	4350000	4470000	4110000	
391	4179000	3867000	3987000	4467000	4467000	4107000	
392	4224000	3984000	3984000	4464000	4464000	4224000	
393	4221000	3981000	3981000	4461000	4461000	4221000	
394	4218000	3978000	3978000	4458000	4458000	4218000	
395	4239000	4095000	3975000	4455000	4455000	4215000	
396	4260000	4092000	4092000	4452000	4452000	4212000	
397	4257000	4089000	4089000	4449000	4449000	4209000	
398	4254000	4086000	4086000	4446000	4446000	4206000	
399	4299000	4083000	4083000	4443000	4563000	4323000	
400	4296000	4080000	4080000	4440000	4560000	4320000	
401	4317000	4077000	4077000	4557000	4557000	4317000	
402	4314000	4074000	4074000	4554000	4554000	4314000	
403	4335000	4071000	4071000	4671000	4551000	4311000	
404	4332000	4068000	4068000	4668000	4548000	4308000	
405	4329000	4065000	4065000	4665000	4545000	4305000	
406	4350000	4182000	4062000	4662000	4542000	4302000	
407	4371000	4179000	4179000	4659000	4539000	4299000	
408	4392000	4176000	4296000	4656000	4536000	4296000	
409	4437000	4173000	4413000	4773000	4533000	4293000	
410	4434000	4170000	4410000	4770000	4530000	4290000	
411	4479000	4287000	4407000	4767000	4527000	4407000	
412	4476000	4284000	4404000	4764000	4524000	4404000	
413	4497000	4281000	4521000	4761000	4521000	4401000	
414	4518000	4398000	4518000	4758000	4518000	4398000	
415	4515000	4395000	4515000	4755000	4515000	4395000	
416	4512000	4392000	4512000	4752000	4512000	4392000	
417	4533000	4389000	4629000	4749000	4509000	4389000	
418	4554000	4386000	4746000	4746000	4506000	4386000	
419	4551000	4383000	4743000	4743000	4503000	4383000	
420	4572000	4500000	4740000	4740000	4500000	4380000	
421	4593000	4497000	4737000	4737000	4617000	4377000	
422	4614000	4494000	4854000	4734000	4614000	4374000	
423	4611000	4491000	4851000	4731000	4611000	4371000	
424	4608000	4488000	4848000	4728000	4608000	4368000	
425	4605000	4485000	4845000	4725000	4605000	4365000	
426	4602000	4482000	4842000	4722000	4602000	4362000	
427	4623000	4479000	4839000	4719000	4599000	4479000	
428	4620000	4476000	4836000	4716000	4596000	4476000	
429	4665000	4473000	4953000	4833000	4593000	4473000	
430	4686000	4470000	4950000	4830000	4590000	4590000	
431	4683000	4467000	4947000	4827000	4587000	4587000	
432	4680000	4464000	4944000	4824000	4584000	4584000	
433	4701000	4461000	4941000	4941000	4581000	4581000	
434	4698000	4458000	4938000	4938000	4578000	4578000	
435	4695000	4455000	4935000	4935000	4575000	4575000	
436	4716000	4452000	5052000	4932000	4572000	4572000	
437	4713000	4449000	5049000	4929000	4569000	4569000	
438	4758000	4566000	5166000	4926000	4566000	4566000	
439	4803000	4563000	5283000	4923000	4683000	4563000	
440	4824000	4560000	5280000	4920000	4680000	4680000	
441	4821000	4557000	5277000	4917000	4677000	4677000	
442	4842000	4554000	5274000	4914000	4794000	4674000	
443	4839000	4551000	5271000	4911000	4791000	4671000	
444	4836000	4548000	5268000	4908000	4788000	4668000	
445	4833000	4545000	5265000	4905000	4785000	4665000	
446	4854000	4542000	5262000	4902000	4902000	4662000	
447	4923000	4659000	5379000	4899000	5019000	4659000	
448	4944000	4656000	5376000	5016000	5016000	4656000	
449	4941000	4653000	5373000	5013000	5013000	4653000	
450	4938000	4650000	5370000	5010000	5010000	4650000	
451	4935000	4647000	5367000	5007000	5007000	4647000	
452	4932000	4644000	5364000	5004000	5004000	4644000	
453	4929000	4641000	5361000	5001000	5001000	4641000	
454	4974000	4758000	5358000	4998000	4998000	4758000	
455	4995000	4755000	5355000	5115000	4995000	4755000	
456	5016000	4872000	5352000	5112000	4992000	4752000	
457	5013000	4869000	5349000	5109000	4989000	4749000	
458	5058000	4986000	5346000	5106000	4986000	4866000	
459	5079000	4983000	5343000	5103000	5103000	4863000	
460	5124000	5100000	5460000	5100000	5100000	4860000	
461	5145000	5097000	5457000	5097000	5097000	4977000	
462	5142000	5094000	5454000	5094000	5094000	4974000	
463	5139000	5091000	5451000	5091000	5091000	4971000	
464	5160000	5088000	5448000	5088000	5208000	4968000	
465	5157000	5085000	5445000	5085000	5205000	4965000	
466	5154000	5082000	5442000	5082000	5202000	4962000	
467	5175000	5079000	5439000	5079000	5319000	4959000	
468	5268000	5076000	5556000	5196000	5436000	5076000	
469	5265000	5073000	5553000	5193000	5433000	5073000	
470	5286000	5190000	5550000	5190000	5430000	5070000	
471	5307000	5187000	5667000	5187000	5427000	5067000	
472	5328000	5184000	5664000	5184000	5424000	5184000	
473	5373000	5181000	5661000	5301000	5421000	5301000	
474	5466000	5298000	5778000	5418000	5538000	5298000	
475	5463000	5295000	5775000	5415000	5535000	5295000	
476	5460000	5292000	5772000	5412000	5532000	5292000	
477	5481000	5289000	5769000	5409000	5649000	5289000	
478	5502000	5286000	5886000	5406000	5646000	5286000	
479	5523000	5403000	5883000	5403000	5643000	5283000	
480	5520000	5400000	5880000	5400000	5640000	5280000	
481	5541000	5517000	5877000	5397000	5637000	5277000	
482	5562000	5634000	5874000	5394000	5634000	5274000	
483	5559000	5631000	5871000	5391000	5631000	5271000	
484	5556000	5628000	5868000	5388000	5628000	5268000	
485	5553000	5625000	5865000	5385000	5625000	5265000	
486	5598000	5622000	5862000	5382000	5742000	5382000	
487	5595000	5619000	5859000	5379000	5739000	5379000	
