envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
248	2568000	2376000	2496000	2616000	2736000	2616000	
249	2589000	2373000	2493000	2613000	2733000	2733000	
250	2586000	2370000	2490000	2610000	2730000	2730000	
251	2583000	2367000	2487000	2607000	2727000	2727000	
252	2652000	2484000	2604000	2604000	2724000	2844000	
253	2673000	2481000	2601000	2601000	2721000	2961000	
254	2718000	2478000	2598000	2598000	2838000	3078000	
255	2715000	2475000	2595000	2595000	2835000	3075000	
256	2736000	2472000	2592000	2712000	2832000	3072000	
257	2781000	2589000	2589000	2709000	2829000	3189000	
258	2826000	2706000	2586000	2826000	2826000	3186000	
259	2823000	2703000	2583000	2823000	2823000	3183000	
260	2820000	2700000	2580000	2820000	2820000	3180000	
261	2865000	2697000	2697000	2937000	2817000	3177000	
262	2862000	2694000	2694000	2934000	2814000	3174000	
263	2859000	2691000	2691000	2931000	2811000	3171000	
264	2880000	2688000	2688000	3048000	2808000	3168000	
265	2877000	2685000	2685000	3045000	2805000	3165000	
266	2874000	2682000	2682000	3042000	2802000	3162000	
267	2895000	2679000	2679000	3039000	2799000	3279000	
268	2916000	2676000	2676000	3156000	2796000	3276000	
269	2937000	2673000	2673000	3273000	2793000	3273000	
270	2934000	2670000	2670000	3270000	2790000	3270000	
271	2955000	2787000	2667000	3267000	2787000	3267000	
272	2976000	2784000	2784000	3264000	2784000	3264000	
273	2997000	2781000	2781000	3261000	2901000	3261000	
274	3018000	2778000	2778000	3258000	2898000	3378000	
275	3087000	2895000	2775000	3375000	2895000	3495000	
276	3084000	2892000	2772000	3372000	2892000	3492000	
277	3081000	2889000	2769000	3369000	2889000	3489000	
278	3102000	3006000	2766000	3366000	2886000	3486000	
279	3123000	3003000	2763000	3363000	3003000	3483000	
280	3192000	3e+06	2880000	3360000	3120000	3600000	
281	3213000	2997000	2877000	3477000	3117000	3597000	
282	3210000	2994000	2874000	3474000	3114000	3594000	
283	3207000	2991000	2871000	3471000	3111000	3591000	
284	3252000	3108000	2868000	3468000	3108000	3708000	
285	3249000	3105000	2865000	3465000	3105000	3705000	
286	3246000	3102000	2862000	3462000	3102000	3702000	
287	3267000	3099000	2859000	3459000	3219000	3699000	
288	3288000	3096000	2856000	3456000	3216000	3816000	
289	3285000	3093000	2853000	3453000	3213000	3813000	
290	3282000	3090000	2850000	3450000	3210000	3810000	
291	3327000	3087000	2847000	3567000	3207000	3927000	
292	3372000	3084000	2844000	3564000	3324000	4044000	
293	3393000	3081000	2841000	3561000	3441000	4041000	
294	3390000	3078000	2838000	3558000	3438000	4038000	
295	3387000	3075000	2835000	3555000	3435000	4035000	
296	3408000	3072000	2832000	3552000	3432000	4152000	
297	3405000	3069000	2829000	3549000	3429000	4149000	
298	3402000	3066000	2826000	3546000	3426000	4146000	
299	3423000	3183000	2823000	3543000	3423000	4143000	
300	3444000	3180000	2820000	3660000	3420000	4140000	
301	3441000	3177000	2817000	3657000	3417000	4137000	
302	3438000	3174000	2814000	3654000	3414000	4134000	
303	3435000	3171000	2811000	3651000	3411000	4131000	
304	3432000	3168000	2808000	3648000	3408000	4128000	
305	3453000	3165000	2805000	3765000	3405000	4125000	
306	3474000	3162000	2802000	3762000	3522000	4122000	
307	3495000	3159000	2799000	3759000	3639000	4119000	
308	3492000	3156000	2796000	3756000	3636000	4116000	
309	3489000	3153000	2793000	3753000	3633000	4113000	
310	3510000	3150000	2790000	3870000	3630000	4110000	
311	3531000	3147000	2787000	3867000	3627000	4227000	
312	3552000	3264000	2784000	3864000	3624000	4224000	
313	3573000	3381000	2781000	3861000	3621000	4221000	
314	3570000	3378000	2778000	3858000	3618000	4218000	
315	3591000	3375000	2775000	3855000	3735000	4215000	
316	3588000	3372000	2772000	3852000	3732000	4212000	
317	3585000	3369000	2769000	3849000	3729000	4209000	
318	3582000	3366000	2766000	3846000	3726000	4206000	
319	3579000	3363000	2763000	3843000	3723000	4203000	
320	3576000	3360000	2760000	3840000	3720000	4200000	
321	3573000	3357000	2757000	3837000	3717000	4197000	
322	3618000	3354000	2874000	3834000	3714000	4314000	
323	3639000	3351000	2871000	3831000	3711000	4431000	
324	3636000	3348000	2868000	3828000	3708000	4428000	
325	3633000	3345000	2865000	3825000	3705000	4425000	
326	3630000	3342000	2862000	3822000	3702000	4422000	
327	3627000	3339000	2859000	3819000	3699000	4419000	
328	3672000	3336000	2856000	3816000	3816000	4536000	
329	3717000	3333000	2853000	3933000	3813000	4653000	
330	3714000	3330000	2850000	3930000	3810000	4650000	
331	3735000	3327000	2847000	3927000	3807000	4767000	
332	3780000	3444000	2964000	3924000	3804000	4764000	
333	3777000	3441000	2961000	3921000	3801000	4761000	
334	3798000	3558000	2958000	3918000	3798000	4758000	
335	3819000	3555000	3075000	3915000	3795000	4755000	
336	3840000	3552000	3072000	4032000	3792000	4752000	
337	3837000	3549000	3069000	4029000	3789000	4749000	
338	3858000	3546000	3186000	4026000	3786000	4746000	
